Time (s),Voltage (V)
-2.320987654320987999e-06,2.001562968533743714e+00
-2.222222222222221651e-06,2.001556912606549332e+00
-2.123456790123456997e-06,2.200775733483293806e+00
-2.024691358024690649e-06,2.200778773321260928e+00
-1.925925925925925996e-06,2.001559952444512902e+00
-1.827160493827161342e-06,2.200781801284858119e+00
-1.728395061728394994e-06,2.001556912606549332e+00
-1.629629629629630340e-06,2.001562968533743714e+00
-1.530864197530863992e-06,2.398444213249138812e+00
-1.432098765432099339e-06,2.398444213249138812e+00
-1.333333333333332991e-06,2.199222352534427216e+00
-1.234567901234568337e-06,2.199222352534427216e+00
-1.135802469135801989e-06,2.199219324570826473e+00
-1.037037037037037335e-06,2.199222352534427216e+00
-9.382716049382709873e-07,1.801562909299981641e+00
-8.395061728395063335e-07,2.198438086213812426e+00
-7.407407407407399857e-07,1.601562838191853189e+00
-6.419753086419753319e-07,1.599228218885972552e+00
-5.432098765432106781e-07,1.001559608778237020e+00
-4.444444444444443302e-07,6.015625182743136179e-01
-3.456790123456796764e-07,2.015593243457267647e-01
-2.469135802469133286e-07,-5.976597098554066179e-01
-1.481481481481486748e-07,-1.198441173411172400e+00
-4.938271604938232690e-08,-1.997660207612302230e+00
4.938271604938232690e-08 ,-2.401554429759240605e+00
1.481481481481486748e-07 ,-3.200776515672703937e+00
2.469135802469133286e-07 ,-4.000776788230851366e+00
3.456790123456796764e-07 ,-4.800774032825398052e+00
4.444444444444443302e-07 ,-5.401555496381167387e+00
5.432098765432106781e-07 ,-6.200774530582297217e+00
6.419753086419753319e-07 ,-6.601555923029934547e+00
7.407407407407399857e-07 ,-7.001556077120557831e+00
8.395061728395063335e-07 ,-7.799993849215940855e+00
9.382716049382709873e-07 ,-7.600781096140757143e+00
1.037037037037037335e-06 ,-7.999996983910769188e+00
1.135802469135801989e-06 ,-7.998446642799866169e+00
1.234567901234568337e-06 ,-7.998446642799866169e+00
1.333333333333332991e-06 ,-7.998446642799866169e+00
1.432098765432099339e-06 ,-8.000000000000000000e+00
1.530864197530863992e-06 ,-7.800006032316534998e+00
1.629629629629630340e-06 ,-7.800006044190901378e+00
1.728395061728394994e-06 ,-7.999224865067649404e+00
1.827160493827161342e-06 ,-7.800778151159654783e+00
1.925925925925925996e-06 ,-7.199233712023399789e+00
2.024691358024690649e-06 ,-6.399230399627288790e+00
2.123456790123456997e-06 ,-5.599230115194774982e+00
2.222222222222221651e-06 ,-4.799229807013528415e+00
2.320987654320987999e-06 ,-3.600010642470508060e+00
2.419753086419752653e-06 ,-2.800007306325660750e+00
2.518518518518519001e-06 ,-1.799231803978301514e+00
2.617283950617283654e-06 ,-9.992284797078241354e-01
2.716049382716050002e-06 ,-6.310811865972709711e-06
2.814814814814814656e-06 ,9.999909811420764072e-01
2.913580246913581004e-06 ,1.800769475968007072e+00
3.012345679012345658e-06 ,2.599991561881470403e+00
3.111111111111112006e-06 ,3.400770044833031136e+00
3.209876543209876659e-06 ,4.199992130746494468e+00
3.308641975308643007e-06 ,4.799995395783213326e+00
3.407407407407407661e-06 ,5.599992628503393632e+00
3.506172839506172315e-06 ,6.000777072663360912e+00
3.604938271604936969e-06 ,6.600777285987746268e+00
3.703703703703705011e-06 ,7.200774447599805228e+00
3.802469135802469664e-06 ,7.599224284328258250e+00
3.901234567901234318e-06 ,8.000774732032311931e+00
3.999999999999998972e-06 ,8.200777854852773885e+00
4.098765432098767014e-06 ,8.599996746837646810e+00
4.197530864197531668e-06 ,8.999993825467207387e+00
4.296296296296296321e-06 ,8.800781096140759985e+00
4.395061728395060975e-06 ,9.000778151159657625e+00
4.493827160493825629e-06 ,9.000006032316534288e+00
4.592592592592593671e-06 ,9.199224853193278761e+00
4.691358024691358325e-06 ,9.200000000000002842e+00
4.790123456790122979e-06 ,9.000781179123251263e+00
4.888888888888887632e-06 ,8.800009012920739337e+00
4.987654320987655674e-06 ,8.999999940766237216e+00
5.086419753086420328e-06 ,8.799227750814992532e+00
5.185185185185184982e-06 ,8.599224627994530579e+00
5.283950617283949636e-06 ,8.200008775847621223e+00
5.382716049382717678e-06 ,8.000008728488225529e+00
5.481481481481482331e-06 ,8.198446299133593129e+00
5.580246913580246985e-06 ,7.798446145042966293e+00
5.679012345679011639e-06 ,7.599999431134975225e+00
5.777777777777776293e-06 ,7.399999360026846773e+00
5.876543209876544335e-06 ,6.999224071003872893e+00
5.975308641975308989e-06 ,6.799223988021374510e+00
6.074074074074073642e-06 ,6.599226956751209627e+00
6.172839506172838296e-06 ,6.001558322894744890e+00
6.271604938271606338e-06 ,5.999226767175564135e+00
6.370370370370370992e-06 ,5.600007863316321277e+00
6.469135802469135646e-06 ,5.799998814910551914e+00
6.567901234567900299e-06 ,5.399223490264478897e+00
6.666666666666668341e-06 ,5.000007649991935921e+00
6.765432098765432995e-06 ,5.198445232511666347e+00
6.864197530864197649e-06 ,4.800779685852560874e+00
6.962962962962962303e-06 ,4.599226269418664970e+00
7.061728395061726957e-06 ,4.599223205831965089e+00
7.160493827160494999e-06 ,4.400776491923970468e+00
7.259259259259259652e-06 ,4.200779472528175518e+00
7.358024691358024306e-06 ,3.999229107806609562e+00
7.456790123456788960e-06 ,3.999223028130682422e+00
7.555555555555557002e-06 ,3.999222992507579733e+00
7.654320987654321656e-06 ,3.799222921399451280e+00
7.753086419753086309e-06 ,3.799222921399451280e+00
7.851851851851850963e-06 ,3.401557386614712186e+00
7.950617283950619005e-06 ,3.400004041288944734e+00
8.049382716049383659e-06 ,3.599998020846776114e+00
8.148148148148148313e-06 ,3.201554263794250232e+00
8.246913580246912967e-06 ,3.199997866756152831e+00
8.345679012345677620e-06 ,3.200000906594116401e+00
8.444444444444445662e-06 ,2.999225676804904595e+00
8.543209876543210316e-06 ,2.999222636966937472e+00
8.641975308641974970e-06 ,2.999222636966937472e+00
8.740740740740739624e-06 ,2.998444438447890548e+00
8.839506172839507666e-06 ,2.601557102182198378e+00
8.938271604938272319e-06 ,2.600778927411884212e+00
9.037037037037036973e-06 ,2.600778915537514280e+00
9.135802469135801627e-06 ,2.799997736414262306e+00
9.234567901234569669e-06 ,2.798444355465392164e+00
9.333333333333334323e-06 ,2.797666145071975308e+00
9.432098765432098977e-06 ,2.401553979361739977e+00
9.530864197530863630e-06 ,2.400775780842689500e+00
9.629629629629628284e-06 ,2.399222423642555668e+00
9.728395061728396326e-06 ,2.399222423642555668e+00
9.827160493827160980e-06 ,2.399222423642555668e+00
9.925925925925925634e-06 ,2.399222411768185736e+00
1.002469135802469029e-05 ,2.398444213249138812e+00
1.012345679012345833e-05 ,2.399994530611305521e+00
1.022222222222222298e-05 ,2.000006571495642760e+00
1.032098765432098764e-05 ,2.199997534964243329e+00
